# 中文→英文映射 v7（1440 条）
3D渲染	3D Rendering
3D生成	3D Generation
A/B测试	A/B Testing
AI Agent 生态	AI Agent Ecosystem
AI Guardrails	AI Guardrails
AI Hallucination	AI Hallucination
AI 会议纪要	AI Meeting Minutes
AI 反馈强化学习	RLAIF
AI 安全级联	AI Safety Cascade
AI 寒冬	AI Winter
AI 对齐	AI Alignment
AI 治理监管	AI Governance & Regulation
AI 自我改进	AI Self-Improvement
AI 芯片	AI Chip
AI交互设计	AI Interaction Design
AI产品经理	AI Product Manager
AI伦理	AI Ethics
AI子目标	AI Subgoal
AI对齐	AI Alignment
AI幻觉	AI Hallucination
AI护栏	AI Guardrails
AI水印	AI Watermarking
AI治理	AI Governance
AI生成内容	AI-Generated Content
AI编程助手	AI Coding Assistant
AI角色扮演	AI Role-Playing
API 网关	API Gateway
AWS API 网关	AWS API Gateway
Actor 并发模型	Actor Model
Adversarial Attack and Defense	Adversarial Attack and Defense
Agent Fleet 经济学	Agent Fleet Economics
Agent Handoffs	Agent Handoff
Agent 接入 DevOps	Agent in DevOps
Agent 框架	Agent Framework
Agent 编排	Agent Orchestration
Agent 软件开发生命周期	Agentic Software Development Lifecycle
Agentic Development	Agentic Development
Agent安全	Agent Security
Agent深化	Agentic Deepening
Android	Android
Android Studio	Android Studio
Ansible	Ansible
Apache Airflow	Apache Airflow
Apache Spark	Apache Spark
Apify（网页爬取与自动化平台）	Apify
Appwrite	Appwrite
BOINC（伯克利分布式计算平台）	BOINC
Babel（JavaScript编译器）	Babel Compiler
Backend for Frontend（面向前端的后端模式，BFF）	Backend for Frontend (BFF)
BigQuery（云数据仓库）	BigQuery
Boosting提升算法	Boosting
Bulma（CSS 框架）	Bulma
C#（编程语言）	C#
CUDA 深度神经网络库	cuDNN
Cassandra	Apache Cassandra
Chinchilla 定律	Chinchilla
Clojure	Clojure
Cloud Run	Cloud Run
CodeIgniter（PHP Web 框架）	CodeIgniter
Common Lisp（Lisp 方言）	Common Lisp
C语言指针	C Pointer
DORA 指标（DevOps 效能度量）	DORA Metrics
Debian	Debian
Dijkstra最短路径算法	Dijkstra's Algorithm
Discord.js（Node.js Discord 机器人开发库）	Discord.js
Docker Compose	Docker Compose
Docker Swarm	Docker Swarm
Docker容器	Docker Container
Drupal（开源内容管理系统）	Drupal
ECMAScript（JavaScript 语言标准）	ECMAScript
Eclipse Vert.x（JVM 响应式应用框架）	Eclipse Vert.x
Electron（跨平台桌面应用框架）	Electron
Elixir（函数式编程语言）	Elixir
