# 整站抓取清单 — Crawl4AI 抓取入口页，提取站内链接逐页抓取
# 格式: 入口URL | 站点名 | 类别 | 是否需cookie(yes/no)
# 共 195 站

https://docs.python.org/zh-cn/3/tutorial/ | Python 官方中文教程 | 官方文档 | no
https://pytorch.org/tutorials/ | PyTorch 官方教程 | 官方文档 | no
https://www.tensorflow.org/ | TensorFlow 官方文档 | 官方文档 | no
https://developer.mozilla.org/ | MDN Web Docs | 官方文档 | no
https://nodejs.org/ | Node.js 官方文档 | 官方文档 | no
https://react.dev/ | React 官方文档 | 官方文档 | no
https://vuejs.org/ | Vue.js 官方文档 | 官方文档 | no
https://docs.docker.com/ | Docker 官方文档 | 官方文档 | no
https://kubernetes.io/ | Kubernetes 官方文档 | 官方文档 | no
https://kubernetes.io/zh-cn/docs/ | Kubernetes 中文文档 | 官方文档 | no
https://nginx.org/ | Nginx 官方文档 | 官方文档 | no
https://git-scm.com/ | Git 官方文档 | 官方文档 | no
https://platform.openai.com/docs | OpenAI 平台文档 | 官方文档 | yes
https://docs.anthropic.com/ | Anthropic 文档 | 官方文档 | no
https://ai.google.dev/ | Google AI 开发者文档 | 官方文档 | no
https://docs.langchain.com/ | LangChain 文档 | 框架文档 | no
https://docs.llamaindex.ai/ | LlamaIndex 文档 | 框架文档 | no
https://microsoft.github.io/autogen/ | AutoGen 文档 | 框架文档 | no
https://docs.ollama.com/ | Ollama 文档 | 工具文档 | no
https://docs.vllm.ai/ | vLLM 文档 | 工具文档 | no
https://modelcontextprotocol.io/ | Model Context Protocol | 协议文档 | no
https://help.aliyun.com/ | 阿里云帮助中心 | 云文档 | no
https://cloud.tencent.com/document | 腾讯云文档 | 云文档 | no
https://www.kernel.org/doc/ | Linux Kernel 文档 | 官方文档 | no
https://dev.mysql.com/doc/ | MySQL 官方文档 | 官方文档 | no
https://www.postgresql.org/docs/ | PostgreSQL 官方文档 | 官方文档 | no
https://redis.io/docs/ | Redis 官方文档 | 官方文档 | no
https://www.mongodb.com/docs/ | MongoDB 官方文档 | 官方文档 | no
https://expressjs.com/ | Express 官方文档 | 框架文档 | no
https://www.djangoproject.com/ | Django 官方文档 | 框架文档 | no
https://flask.palletsprojects.com/ | Flask 官方文档 | 框架文档 | no
https://fastapi.tiangolo.com/ | FastAPI 官方文档 | 框架文档 | no
https://webpack.js.org/ | Webpack 官方文档 | 工具文档 | no
https://vitejs.dev/ | Vite 官方文档 | 工具文档 | no
https://www.typescriptlang.org/ | TypeScript 官方文档 | 官方文档 | no
https://learn.microsoft.com/ | Microsoft Learn | 云文档 | no
https://cloud.google.com/docs | Google Cloud 文档 | 云文档 | no
https://developer.nvidia.com/cuda-toolkit | NVIDIA CUDA 文档 | 官方文档 | no
https://www.deepspeed.ai/ | DeepSpeed | 工具文档 | no
https://docs.comfy.org/ | ComfyUI 文档 | 工具文档 | no
https://angular.dev/ | Angular 官方文档 | 官方文档 | no
https://docs.crewai.com/ | CrewAI 文档 | 框架文档 | no
https://langchain-ai.github.io/langgraph/ | LangGraph 文档 | 框架文档 | no
https://openai.github.io/openai-agents-python/ | OpenAI Agents SDK | 框架文档 | no
https://ai.pydantic.dev/ | Pydantic AI | 框架文档 | no
https://ag2.ai/ | AG2 | 框架文档 | no
https://www.langflow.org/ | Langflow | 框架文档 | no
https://docs.crawl4ai.com/ | Crawl4AI 文档 | 工具文档 | no
https://cursor.com/docs | Cursor 文档 | 官方文档 | no
https://docs.aws.amazon.com/ | AWS 官方文档 | 云文档 | no
https://www.paddlepaddle.org.cn/ | PaddlePaddle 官方文档 | 官方文档 | no
https://www.ros.org/ | ROS 官方文档 | 官方文档 | no
https://keras.io/ | Keras 官方文档 | 官方文档 | no
https://scikit-learn.org/ | Scikit-learn 官方文档 | 官方文档 | no
https://numpy.org/ | NumPy 官方文档 | 官方文档 | no
https://pandas.pydata.org/ | Pandas 官方文档 | 官方文档 | no
https://cookbook.openai.com/ | OpenAI Cookbook | 官方文档 | yes
https://www.gradio.app/ | Gradio 官方文档 | 官方文档 | no
https://developers.cloudflare.com/ | Cloudflare Learning Center | 官方文档 | no
https://a2a-protocol.org/ | A2A 协议文档 | 协议文档 | no
https://scrapy.org/ | Scrapy 官方文档 | 工具文档 | no
https://google.github.io/adk-docs/ | Google ADK (Agent Development Kit) 文档 | 框架文档 | no
https://mlflow.org/ | MLflow 官方文档 | 工具文档 | no
https://playwright.dev/ | Playwright 官方文档 | 工具文档 | no
https://open.bigmodel.cn/ | GLM 智谱开放平台 | AI 模型 API | no
https://api-docs.deepseek.com/ | DeepSeek 官方文档 | AI 模型 API | no
https://qwen.ai/ | Qwen 通义千问 | 阿里 AI 模型 | no
https://platform.moonshot.cn/ | Kimi 月之暗面 | AI 模型 API | no
https://opencode.ai/ | OpenCode | 开源 AI 编码 CLI | no
https://docs.openclaw.ai/ | OpenClaw | 开源 AI Agent 框架 | no
